Road,Points
Circular,255.09 550.74 258.68 554.03 262.87 557.32 267.06 561.21 271.25 564.8 275.73 568.09 282.01 571.08 287.7 573.17 293.68 574.67 300.56 576.47 307.14 577.96 319.4 579.46 330.77 580.65 336.75 580.65 346.02 582.45 350.51 582.45 359.18 583.94 367.56 583.94 377.13 585.14 386.7 586.63 392.98 588.73 398.07 592.32 402.25 598.3 406.44 602.79 416.91 599.8 426.78 598.6 438.15 597.4 448.02 596.51 458.19 595.01 467.76 593.81 477.03 592.32 485.7 590.82 493.78 589.03 502.45 587.83 509.93 586.93 515.62 585.74 518.9 584.24 521.9 580.95 523.99 576.76 526.38 571.08 528.77 564.5 532.37 556.13 535.36 550.74 539.54 547.45 544.33 542.97 548.82 539.38 552.11 534.89 554.8 530.1 557.49 524.72 559.88 519.49 562.57 515.45 566.16 510.36 571.25 503.48 576.03 497.8 580.22 491.82 583.51 487.33 587.4 482.25 591.29 477.46 595.48 473.27 599.96 468.49 604.45 463.4 609.24 458.92 613.72 454.43 607.14 446.95 601.16 440.37 595.18 433.19 589.49 426.31 584.41 419.73 578.43 412.86 571.85 406.87 565.87 402.98 559.58 398.8 549.12 393.41 541.94 389.82 534.76 386.83 526.08 382.64 517.71 380.85 506.04 379.06 497.97 376.96 489.89 374.27 482.71 371.28 474.94 368.29 467.76 365.89 458.79 362.9 451.9 360.51 445.32 358.42 438.15 356.02 432.76 353.93 426.18 351.54 421.7 348.55 417.81 344.36 415.41 339.87 412.12 334.49 409.13 330 405.25 324.02 401.06 318.94 396.27 314.15 390.59 309.66 383.41 306.37 375.63 306.37 369.05 306.37 361.57 306.37 353.2 306.37 347.52 306.37 340.34 306.37 333.76 306.37 325.68 306.37 316.71 306.37 311.03 306.37 304.15 310.26 296.97 314.75 290.09 318.94 282.91 322.82 276.03 327.01 269.75 331.2 262.57 335.39 255.09 340.17 247.32 344.66 240.74 348.55 234.46 351.24
Mall,348.48 792.58 351.01 795.11 353.84 797.79 356.38 800.48 359.36 803.6 363.08 807.03 366.66 810.16 370.08 813.29 373.81 817.46 377.53 821.78 382.15 825.8 386.18 829.23 389.75 832.06 392.88 834.75 396.31 837.43 399.44 839.51 403.01 841.75 407.33 844.43 412.25 847.26 416.57 849.64 420.44 851.73 424.92 853.97 428.94 855.9 432.66 857.54 436.54 859.33 440.56 861.27 445.92 863.8 450.54 865.74 454.42 867.97 459.33 870.36 463.51 872.29 467.68 873.93 471.4 875.72 475.57 877.8 478.85 879.29 481.98 880.93 485.26 882.87 488.54 884.96 490.92 887.19 493.6 889.13 496.88 890.92 500.75 893 504.33 894.64 507.46 896.43 510.74 898.07 514.31 900.3 517.74 901.94 521.02 904.03 524.45 906.41 528.17 908.8 531.3 910.73 534.88 913.12 537.71 914.91 541.28 917.14 545.16 919.38 548.73 921.91 552.16 924 555.88 926.38 559.31 928.61 563.04 931 566.61 933.08 570.19 935.91 573.47 937.85 576.3 939.64 579.58 942.02 581.96 944.11 584.64 945.9 587.77 947.98 590 949.92 593.28 952.45 596.26 954.84 599.09 957.37 601.78 959.61 604.61 962.44 607.29 964.52 611.91 967.5 614.29 969.29 617.57 970.93 621.14 972.27 625.32 973.16 629.79 974.21 633.81 974.95 637.53 976 641.56 977.19 646.03 977.93 650.05 979.12 654.82 980.91 660.03 982.55 664.95 984.19 669.57 985.98 674.19 987.77 678.81 989.4 683.28 990.89 687.75 992.38 692.81 994.32 697.28 996.26 701.6 998.05 704.88 999.54
Mcleod,348.99 792.49 353.81 791.94 358.82 790.63 363.84 789.11 367.54 787.91 372.44 786.28 377.46 785.41 383.56 783.77 389.66 782.36 395.98 780.72 403.06 779.09 409.71 777.78 417.88 776.69 422.02 776.03 427.58 775.16 434.77 773.97 440.43 773.97 446.64 773.42 452.64 773.42 458.74 772.88 465.71 772.33 472.14 771.79 478.02 771.13 485 770.26 490.88 769.17 497.09 768.19 503.3 767.1 507.44 766.34 515.5 765.03 520.52 764.16 525.75 763.18 531.52 761.98 536.75 760.13 544.05 755.01 548.3 751.08 552 748.47 555.27 745.96 558.11 744.33 561.59 742.15 564.86 739.97 567.8 738.01 570.53 736.16 574.34 733.11 577.06 730.38 579.02 728.64 581.1 726.68 583.27 724.83 585.67 722.97 587.96 720.9 589.7 719.27 591.55 717.63 593.3 715.89 595.26 714.04 597.66 711.86 599.84 710.12 601.58 708.7 604.09 706.74 606.37 705 608.77 703.14 611.17 701.51 613.57 699.55 615.85 697.48 618.03 695.19 620.76 693.01 623.15 691.49 626.1 689.52 631.29 686.01 635.73 682.1 640.17 678.18 643.3 676.35 645.77 674.17 647.64 672.43 650.17 669.63 652.04 667.36 653.11 664.15 654.45 660.14 656.05 654.94 657.79 649.73 659.52 644.92 661.8 638.91 663.53 633.7 665.4 628.62 667.4 623.01 668.61 618.74 669.41 615.93 671.01 612.19 672.75 607.92 675.29 602.44 676.22 598.57 677.96 593.89 679.56 589.35 681.3 584.41 683.17 579.2 684.5 574.79 686.11 570.12 687.71 565.44 689.04 560.63 689.04 558.76
Montgomery,589.93 719.05 586.46 731.17 581.85 745.02 576.08 760.02 569.15 775.6 562.8 790.61 557.61 805.61 552.99 817.73 547.8 828.69 536.84 822.92 526.45 835.62 517.22 848.31 510.29 856.97 513.18 874.28 515.48 884.09 516.64 899.67
Nisbet,401.61 665.96 405.77 667.94 409.32 670.31 414.07 673.27 417.43 675.85 422.18 679.01 426.53 681.58 430.48 684.74 434.24 687.71 438.59 690.87 442.74 693.64 446.3 696.21 450.65 699.38 455.79 703.33 459.16 706.89 463.31 709.86 467.66 713.02 472.4 716.78 476.95 721.13 480.91 724.69 484.47 727.85 487.43 730.23 490.6 733.19 493.76 736.36 497.72 739.52 501.67 741.69 504.24 743.47 507.6 745.25 511.36 747.03 514.72 749.41 517.69 751.19
